the,เดอะ
computation,คอมพิวเทชั่น
hay,เฮย์
cardiovascular,คาร์ดิโอแวสคูลาร์
ww,ดับเบิลยูดับเบิลยู
sparc,สปาร์ค
cardiac,คาร์ดิแอค
salvation,ซัลเวชั่น
dover,โดเวอร์
adrian,เอเดรียน
predictions,พรีดิคชั่นส์
accompanying,แอคคอมพานีอิ้ง
vatican,วาติกัน
brutal,บรูทอล
learners,เลิร์นเนอร์ส
gd,จีดี
selective,ซีเล็คทีฟว์
arbitration,อาร์บิทเรชั่น
configuring,คอนฟิกกูร์ริ่ง
token,โทเค็น
editorials,เอดิทอเรียลส์
zinc,ซิงค์
sacrifice,แซคริไฟซ์
seekers,ซีคเกอร์ส
guru,กูรู
isa,ไอเอสเอ
removable,รีมูฟว์เอเบิล
convergence,คอนเวอร์เจนซ์
yields,ยีลด์ส
gibraltar,จิบรอลตาร์
levy,เลฟวี่
suited,ซูทเต็ด
numeric,นิวเมอริค
anthropology,แอ็นโธรโปโลจี
skating,สเกทติ้ง
kinda,คายน์ดา
aberdeen,แอเบอร์ดีน
emperor,เอมเพอเรอร์
grad,แกรด
malpractice,แมลแพรคทิซ
dylan,ดีแลน
bras,บราส
belts,เบลท์ส
blacks,แบล็คส์
educated,เอ็ดดูเคทเต็ด
rebates,รีเบทส์
reporters,รีพอร์ทเตอร์ส
burke,เบิร์ค
proudly,พราวด์ลี่
pix,พิกซ์
necessity,เนสเซสซิตี้
rendering,เรนเดอร์ริ่ง
mic,มิค
inserted,อินเสิร์ทเต็ด
pulling,พูลลิ่ง
basename,เบสเนม
kyle,ไคล์
obesity,โอเบซิตี้
curves,เคิร์ฟว์ส
suburban,ซับเออร์บัน
touring,ทัวริ่ง
clara,คลารา
vertex,เวอร์เท็กซ์
bw,บีดับเบิลยู
hepatitis,เฮพาทิทิส
nationally,เนชั่นแนลลี่
tomato,โทเมโท
andorra,อันดอร์รา
waterproof,วอเทอร์พรูฟว์
expired,เอ็กซ์ไพร์ด
mj,เอ็มเจ
travels,ทราเวลส์
flush,ฟลัช
waiver,ไวเวอร์
pale,เพล
specialties,สเปเชียลตี้ส์
hayes,เฮย์ส
humanitarian,ฮิวแมนิทาเรียน
invitations,อินไวเทชั่นส์
functioning,ฟังค์ชั่นนิ่ง
delight,ดีไลท์
survivor,เซอร์ไวเวอร์
garcia,การ์เซีย
cingular,ซิงกูลาร์
economies,อีโคโนมีส์
alexandria,อเล็กซานเดรีย
bacterial,แบคทีเรียล
moses,โมเสส
counted,คาวน์ท์เต็ด
undertake,อันเดอร์เทค
declare,เดคแลร์
continuously,คอนทินิวอัสลี่
johns,จอห์นส์
valves,วาล์ฟว์ส
gaps,แกปส์
impaired,อิมแพร์ด
achievements,อะชีฟว์เม้นท์ส
donors,โดเนอร์ส
tear,เทียร์
jewel,จิวเวล
teddy,เทดดี้
lf,แอลเอฟ
convertible,คอนเวอร์ทิเบิล
ata,เอทีเอ
teaches,ทีชเชส
ventures,เวนเจอร์ส
nil,นิล
bufing,บัฟฟิ่ง
stranger,สเตรนเจอร์
tragedy,ทราเจดี้
julian,จูเลียน
nest,เนสท์
pam,แพม
dryer,ดรายเออร์
painful,เพนฟูล
velvet,เวลเวท
tribunal,ทริบูนัล
ruled,รูลด์
nato,นาโต้
pensions,เพนชั่นส์
prayers,แพรเยอร์ส
funky,ฟังค์กี้
secretariat,ซีเครททาเรียท
nowhere,โนว์แวร์
cop,คอพ
paragraphs,พารากราฟส์
gale,เกล
joins,จอยน์ส
adolescent,แอ็ดโดเลสเซนท์
nominations,นอมมิเนชั่นส์
wesley,เวสลีย์
dim,ดิม
lately,เลทลี่
cancelled,แคนเซิลด์
scary,สแกร์รี่
mattress,แมทเทรส
mpegs,เอ็มเพ็กส์
brunei,บรูไน
likewise,ไลค์วายส์
banana,บานาน่า
introductory,อินโทรดักทอรี่
slovak,สโลวัค
cakes,เค้กส์
stan,สแตน
reservoir,เรเซิร์ฟวัวร์
occurrence,ออคเคอร์เรนซ์
idol,ไอเดิล
bloody,บลัดดี้
mixer,มิกเซอร์
remind,รีมายด์
wc,ดับเบิลยูซี
worcester,วอร์สเตอร์
sbjct,เอสบีเจซีที
demographic,เดโมกราฟฟิค
charming,ชาร์มมิ่ง
mai,มาย
tooth,ทูธ
disciplinary,ดิสซิพลินารี่
annoying,แอนนอยอิ้ง
respected,รีสเปคท์เต็ด
stays,สเตย์ส
disclose,ดิสโคลส
affair,แอฟแฟร์
drove,โดรฟว์
washer,วอชเชอร์
upset,อัพเซ็ท
restrict,รีสทริคท์
springer,สปริงเกอร์
beside,บีไซด์
mines,ไมน์ส
portraits,พอร์ทเทรทส์
rebound,รีบาวน์ด
logan,โลแกน
mentor,เมนเทอร์
interpreted,อินเทอร์พรีทเต็ด
evaluations,อีแวลูเอชั่นส์
fought,ฟอท
baghdad,แบกแดด
elimination,อีลิมิเนชั่น
metres,มิเตอร์ส
hypothetical,ไฮโพเธทิคอล
immigrants,อิมมิแกร้นท์ส
complimentary,คอมพลีเม้นท์ทารี่
helicopter,เฮลิคอปเตอร์
pencil,เพนซิล
freeze,ฟรีซ
hk,เอชเค
performer,เพอร์ฟอร์มเมอร์
abu,อาบู
titled,ไทเทิลด์
commissions,คอมมิชชั่นส์
sphere,สเฟียร์
powerseller,พาวเวอร์เซลเลอร์
moss,มอส
ratios,เรติโอส์
concord,คอนคอร์ด
graduated,แกรดดูเอทเต็ด
endorsed,เอ็นดอร์สด์
ty,ทีวาย
surprising,เซอร์ไพรซ์ซิ่ง
walnut,วอลนัท
lance,แลนซ์
ladder,แลดเดอร์
italia,อิตาเลีย
unnecessary,อันเนสเซสซารี่
dramatically,ดรามัททิคอลลี่
liberia,ไลบีเรีย
sherman,เชอร์แมน
cork,คอร์ค
maximize,แม็กซิมไมซ์
cj,ซีเจ
hansen,แฮนเซน
senators,เซนเนเตอร์ส
workout,เวิร์คเอาท์
mali,มาลี
yugoslavia,ยูโกสลาเวีย
bleeding,บลีดดิ้ง
characterization,คาแรคเตอร์ไรเซชั่น
colon,โคลอน
likelihood,ไลคลี่ฮูด
lanes,เลนส์
purse,เพิร์ส
fundamentals,ฟันดาเมนทอลส์
contamination,คอนทามิเนชั่น
mtv,เอ็มทีวี
endangered,เอ็นเดนเจอร์ด
compromise,คอมโพรไมซ์
masturbation,มาสทัวร์เบชั่น
optimize,ออพทิมไมซ์
stating,สเตทติ้ง
dome,โดม
caroline,คาโรไลน์
leu,ลู
expiration,เอ็กซ์ไพเรชั่น
namespace,เนมสเปซ
align,อะไลน์
peripheral,เพอร์ริเฟอรัล
bless,เบลส
engaging,เอ็นเกจจิ้ง
negotiation,เนโกติเอชั่น
crest,เครสท์
opponents,ออพโพเน้นท์ส
triumph,ทรายอัมพ์
nominated,นอมมิเนทเต็ด
confidentiality,คอนฟิเดนเชียลิตี้
electoral,อีเล็คโทรัล
changelog,เชนจ์ล็อก
welding,เวลดิ้ง
orgasm,ออร์แกสซึม
deferred,ดีเฟอร์ด
alternatively,อัลเทอร์นาทีฟว์ลี่
heel,ฮีล
alloy,อัลลอย
condos,คอนโดส
plots,พล็อทส์
polished,พอลลิชด์
yang,หยาง
gently,เจนท์ลี่
greensboro,กรีนส์โบโร
tulsa,ทัลซา
locking,ล็อคกิ้ง
casey,เคซี่
controversial,คอนโทรเวอร์เชียล
draws,ดรอว์ส
fridge,ฟริดจ์
blanket,แบลงค์เค็ท
bloom,บลูม
qc,คิวซี
simpsons,ซิมป์สันส์
lou,ลู
elliott,เอลลิออทท์
recovered,รีคอฟเวอร์ด
fraser,เฟรเซอร์
justify,จัสท์ติฟาย
upgrading,อัพเกรดดิ้ง
blades,เบลดส์
pgp,พีจีพี
loops,ลูปส์
surge,เซิร์จ
frontpage,ฟร้อนท์เพจ
trauma,ทรอมา
aw,เอดับเบิลยู
tahoe,ทาโฮ
advert,แอดเวอร์ท
possess,โพเซส
demanding,ดีมานด์ดิ้ง
defensive,ดีเฟนซีฟว์
sip,ซิป
flashers,แฟลชเชอร์ส
subaru,ซูบารุ
forbidden,ฟอร์บิดเดน
tf,ทีเอฟ
vanilla,วานิลลา
programmers,โปรแกรมเมอร์ส
pj,พีเจ
monitored,มอนิเตอร์ด
installations,อินสตอลเลชั่นส์
deutschland,ดอยช์แลนด์
picnic,พิคไนค์
souls,โซลส์
arrivals,อะไรฟวอลส์
spank,สแปงค์
cw,ซีดับเบิลยู
practitioner,แพรคทิชั่นเนอร์
motivated,โมทิเวทเต็ด
wr,ดับเบิลยูอาร์
dumb,ดัมบ์
smithsonian,สมิธโซเนียน
hollow,ฮอลโลว์
vault,วอลท์
securely,ซีเคียวร์ลี่
examining,เอ็กแซมมินิ่ง
fioricet,ฟิโอริเซ็ต
groove,กรูฟว์
revelation,เรฟเวเลชั่น
rg,อาร์จี
pursuit,เพอร์ซูท
delegation,เดเลเกชั่น
wires,ไวร์ส
bl,บีแอล
dictionaries,ดิกชั่นนารีส์
mails,เมลส์
backing,แบ็คกิ้ง
greenhouse,กรีนเฮาส์
sleeps,สลีปส์
vc,วีซี
blake,เบลค
transparency,ทรานส์พาเรนซี่
dee,ดี
travis,ทราวิส
wx,ดับเบิลยูเอ็กซ์
endless,เอ็นด์เลส
figured,ฟิกเกอร์ด
orbit,ออร์บิท
currencies,เคอร์เร้นซี่ส์
niger,ไนเจอร์
bacon,เบค่อน
survivors,เซอร์ไวเวอร์ส
positioning,โพซิชั่นนิ่ง
heater,ฮีทเตอร์
colony,โคโลนี่
cannon,แคนนอน
circus,เซอร์คัส
promoted,โปรโมทเต็ด
forbes,ฟอร์บส์
mae,เมย์
moldova,มอลโดวา
mel,เมล
descending,ดีเซนดิ้ง
paxil,แพ็กซิล
spine,สไปน์
trout,ทราวน์ท์
enclosed,เอ็นโคลสด์
feat,ฟีท
temporarily,เทมโพราลี่
ntsc,เอ็นทีเอสซี
cooked,คุ้คท์
thriller,ธริลเลอร์
transmit,ทรานส์มิท
apnic,เอพนิค
fatty,แฟทตี้
gerald,เจอรัลด์
pressed,เพรสส์ด
frequencies,ฟรีเควนซี่ส์
scanned,สแกนน์ด
reflections,รีเฟล็กชั่นส์
hunger,ฮังเกอร์
mariah,มาเรียห์
sic,ซิค
municipality,มูนิซิพาลิตี้
usps,ยูเอสพีเอส
joyce,จอยซ์
detective,ดีเทคทีฟว์
surgeon,เซอร์เจียน
cement,ซีเมนท์
experiencing,เอ็กซ์พีเรียนซ์ซิ่ง
fireplace,ไฟร์เพลส
endorsement,เอ็นดอร์สเม้นท์
bg,บีจี
planners,แพลนเนอร์ส
disputes,ดิสพิวท์ส
textiles,เท็กซ์ไทล์ส
missile,มิสไซล์
intranet,อินทราเน็ต
closes,โคลสเซส
seq,ซีค
psychiatry,ไซคายอะทรี
persistent,เพอร์ซิสเต้นท์
deborah,เดโบราห์
conf,คอนฟ์
marco,มาร์โค
assists,แอสซิสท์ส
summaries,ซัมมารีส์
glow,โกลว์
gabriel,เกเบรียล
auditor,ออดิเตอร์
wma,ดับเบิลยูเอ็มเอ
aquarium,อะควาเรียม
violin,ไวโอลิน
prophet,โพรเฟท
cir,เซอร์
bracket,แบร็คเคท
looksmart,ลุคสมาร์ท
isaac,ไอแซค
oxide,อ็อกไซด์
oaks,โอ๊คส์
magnificent,แมกนิฟิเซนท์
erik,อีริค
colleague,คอลลีค
naples,เนเปิลส์
promptly,พรอมพ์ทลี่
modems,โมเด็มส์
adaptation,แอแดปเทชั่น
hu,ฮู
harmful,ฮาร์มฟูล
paintball,เพนท์บอลล์
prozac,โพรแซค
sexually,เซ็กซ์ชวลลี่
enclosure,เอ็นโคลเชอร์
acm,เอซีเอ็ม
dividend,ดิวิเดนท์
newark,นิวอาร์ค
kw,เคดับเบิลยู
paso,พาโซ
glucose,กลูโคส
phantom,แฟนทอม
norm,นอร์ม
playback,เพลย์แบ็ค
supervisors,ซูเปอร์ไวเซอร์ส
westminster,เวสต์มินสเตอร์
turtle,เทอร์เทิล
ips,ไอพีเอส
distances,ดิสแท็นซ์เซส
absorption,แอ็บซอร์ปชั่น
treasures,เทรเชอร์ส
dsc,ดีเอสซี
warned,วอร์นด
neural,นิวรัล
ware,แวร์
fossil,ฟอสซิล
mia,มีอา
hometown,โฮมทาวน์
badly,แบดลี่
transcripts,ทรานสคริปท์ส
apollo,อะพอลโล
wan,แวน
disappointed,ดิสแอพพอยท์เต็ด
persian,เพอร์เชียน
continually,คอนทินิวอลลี่
communist,คอมมิวนิสท์
collectible,คอลเลคทิเบิล
handmade,แฮนด์เมด
greene,กรีน
entrepreneurs,เอ็นเตอร์เพรอนัวร์ส
robots,โรบอทส์
grenada,เกรนาดา
creations,ครีเอชั่นส์
jade,เจด
scoop,สคูป
acquisitions,แอคควิซิชั่นส์
foul,ฟาวล์
keno,คีโน
gtk,จีทีเค
earning,เอิร์นนิ่ง
mailman,เมลแมน
sanyo,ซันโย
nested,เนสท์เต็ด
biodiversity,ไบโอไดเวอร์ซิตี้
excitement,เอ็กซ์ไซท์เม้นท์
somalia,โซมาเลีย
movers,มูฟเวอร์ส
verbal,เวอร์บัล
blink,บลิงค์
presently,เพรเซนท์ลี่
seas,ซีส์
carlo,คาร์โล
workflow,เวิร์คโฟลว์
mysterious,มิสทรีเรียส
novelty,โนเวลตี้
bryant,ไบรอันท์
tiles,ไทล์ส
voyuer,วัวเยอร์
librarian,ไลบรารีเรียน
subsidiaries,ซับซิดิเอรี่ส์
switched,สวิทช์ชด์
stockholm,สต็อกโฮล์ม
tamil,ทามิล
garmin,การ์มิน
ru,อาร์ยู
pose,โพส
fuzzy,ฟัซซี่
indonesian,อินโดนีเซียน
grams,แกรมส์
therapist,เทอราพิสท์
richards,ริชาร์ดส์
mrna,เอ็มอาร์เอ็นเอ
budgets,บัดเจ็ทส์
toolkit,ทูลคิท
promising,พรอมมิสซิ่ง
relaxation,รีแล็กเซชั่น
goat,โก้ท
render,เรนเดอร์
carmen,คาร์เมน
ira,ไออาร์เอ
sen,เซน
thereafter,แธร์อาฟเตอร์
hardwood,ฮาร์ดวูด
erotica,อีโรติกา
temporal,เทมโพรัล
sail,เซล
forge,ฟอร์จ
commissioners,คอมมิชชั่นเนอร์ส
dense,เดนซ์
dts,ดีทีเอส
brave,เบรฟว์
forwarding,ฟอร์เวิร์ดดิ้ง
qt,คิวที
awful,ออว์ฟูล
nightmare,ไนท์แมร์
airplane,แอร์เพลน
reductions,รีดักชั่นส์
southampton,เซาท์แฮมป์ตัน
istanbul,อิสตันบูล
impose,อิมโพส
organisms,ออร์กานิซึมส์
sega,เซก้า
telescope,เทเลสโคป
viewers,วิวเวอร์ส
asbestos,แอสเบสตอส
portsmouth,พอร์ทสมัธ
cdna,ซีดีเอ็นเอ
meyer,เมเยอร์
enters,เอ็นเทอร์ส
pod,พ็อด
savage,ซาเวจ
advancement,แอดวานซ์เม้นท์
wu,ดับเบิลยูยู
harassment,ฮาราสเม้นท์
willow,วิลโลว์
resumes,รีซูเม่ส์
bolt,โบลท์
gage,เกจ
throwing,โธรว์อิ้ง
existed,เอ็กซิสท์เต็ด
whore,ฮอร์
generators,เจนเนอเรเตอร์ส
lu,ลู
wagon,แวกอน
barbie,บาร์บี้
dat,แดท
favour,เฟเวอร์
soa,เอสโอเอ
knock,น็อค
urge,เออร์จ์
smtp,เอสเอ็มทีพี
generates,เจนเนอเรทส์
potatoes,โพเทโทส์
thorough,เธอร์โรว์
replication,เรพลิเคชั่น
inexpensive,อินเอ็กซ์เพนซีฟว์
kurt,เคิร์ท
receptors,รีเซ็ปเตอร์ส
peers,เพียร์ส
roland,โรแลนด์
optimum,ออพทิมัม
neon,นีออน
interventions,อินเทอร์เวนชั่นส์
quilt,ควิลท์
huntington,ฮันท์ติ้งตัน
creature,ครีเอเจอร์
ours,เอาเออร์ส
mounts,มาวน์ทส์
syracuse,ซิราคิวส์
internship,อินเทิร์นชิป
lone,โลน
refresh,รีเฟรช
aluminium,อะลูมินัม
snowboard,สโนว์บอร์ด
beastality,บีสเทียลิตี้
webcast,เว็บคาสท์
michel,มิเชล
evanescence,เอฟวาเนสเซนซ์
subtle,ซับเทิล
coordinated,โคออร์ดิเนทเต็ด
notre,โนเทร
shipments,ชิปเม้นท์ส
maldives,มัลดีฟส์
stripes,สไตรป์ส
firmware,เฟิร์มแวร์
antarctica,แอนตาร์คติกา
cope,โคพ
shepherd,เชพเพิร์ด
lm,แอลเอ็ม
canberra,แคนเบอร์รา
cradle,เครเดิล
chancellor,แชนเซลเลอร์
mambo,แมมโบ
lime,ไลม์
kirk,เคิร์ค
flour,ฟลาเวอร์
controversy,คอนโทรเวอร์ซี่
legendary,เลเจนด์ดารี่
bool,บูล
sympathy,ซิมพาธี่
choir,คไวร์
avoiding,อะวอยด์ดิ้ง
beautifully,บิวติฟูลลี่
blond,บลอนด์
expects,เอ็กซ์เพคท์ส
cho,โช
jumping,จัมพ์ปิ้ง
fabrics,แฟบริคส์
antibodies,แอนตี้บอดี้ส์
polymer,โพลีเมอร์
hygiene,ไฮจีน
wit,วิท
poultry,โพลท์ทรี่
virtue,เวอร์ทู
burst,เบิร์สท์
examinations,เอ็กแซมมิเนชั่นส์
surgeons,เซอร์เจียนส์
bouquet,บูเกต์
immunology,อิมมูนโนโลจี
promotes,โปรโมทส์
mandate,แมนเดท
wiley,ไวลีย์
departmental,ดีพาร์ทเม้นท์ทอล
bbs,บีบีเอส
spas,สปาส
ind,อินด์
corpus,คอร์ปัส
johnston,จอห์นสตัน
terminology,เทอร์มินอลโลจี
gentleman,เจนเทิลแมน
fibre,ไฟเบอร์
reproduce,รีโปรดิวซ์
convicted,คอนวิคท์เต็ด
shades,เชดส์
jets,เจ็ทส์
indices,อินดิซเซส
roommates,รูมเมทส์
adware,แอดแวร์
qui,ควี
intl,อินท์ทีแอล
threatening,เธรทเทนน์นิ่ง
spokesman,สโพคส์แมน
zoloft,โซลอฟท์
activists,แอคทิฟวิสท์ส
frankfurt,แฟรงค์เฟิร์ท
prisoner,พริซันเนอร์
daisy,เดซี่
halifax,แฮลิแฟกซ์
encourages,เอ็นเคอเรจเจส
ultram,อัลตรัม
cursor,เคอร์เซอร์
assembled,แอสเซมเบิลด์
earliest,เออร์ลี่เอสท์
donated,โดเนทเต็ด
stuffed,สตัฟฟ์ด
restructuring,รีสตรัคเจอร์ริ่ง
insects,อินเซคท์ส
terminals,เทอร์มินอลส์
crude,ครูด
morrison,มอร์ริสัน
maiden,เมเดน
simulations,ซิมมูเลชั่นส์
cz,ซีซี
sufficiently,ซัฟฟิเชียนท์ลี่
examines,เอ็กแซมมินส์
viking,ไวกิ้ง
myrtle,เมอร์เทิล
bored,บอร์ด
cleanup,คลีนอัพ
yarn,ยาร์น
knit,นิท
conditional,คอนดิชั่นนอล
mug,มัก
crossword,ครอสเวิร์ด
bother,บอเธอร์
budapest,บูดาเปสต์
conceptual,คอนเซ็ปท์ชวล
knitting,นิทติ้ง
attacked,แอทแท็คท์
hl,เอชแอล
bhutan,ภูฏาน
liechtenstein,ลิกเตนสไตน์
mating,เมทติ้ง
compute,คอมพิวท์
redhead,เรดเฮด
arrives,อะไรฟว์ส
translator,ทรานส์เลเตอร์
automobiles,ออโตโมบิลส์
tractor,แทร็คเตอร์
allah,อัลเลาะห์
continent,คอนทิเนนท์
ob,โอ๊บ
unwrap,อันแร็พ
fares,แฟร์ส
longitude,ลองจิจูด
resist,รีซิสท์
challenged,ชาลเลนจ์ด
telecharger,เทเลชาร์เจอร์
hoped,โฮพท์
pike,ไพค์
safer,เซฟเฟอร์
insertion,อินเสิร์ทชั่น
instrumentation,อินสทรูเม้นท์เทชั่น
ids,ไอดีเอส
hugo,ฮูโก้
wagner,วากเนอร์
constraint,คอนสเทรนท์
groundwater,กราวน์ดวอเทอร์
touched,ทัชด์
strengthening,สเตร็งค์เธนิ่ง
cologne,โคโลญจ์
gzip,จีซิป
wishing,วิชชิ่ง
ranger,แรงเจอร์
smallest,สมอลเลสท์
insulation,อินซูเลชั่น
newman,นิวแมน
marsh,มาร์ช
ricky,ริคกี้
ctrl,ซีทีอาร์แอล
scared,สแกร์ด
theta,ธีต้า
infringement,อินฟรินจ์เม้นท์
bent,เบ้นท์
laos,ลาว
subjective,ซับเจ็คทีฟว์
monsters,มอนสเตอร์ส
asylum,อะไซลัม
lightbox,ไลท์บ็อกซ์
robbie,ร็อบบี้
stake,สเตค
cocktail,ค็อกเทล
outlets,เอาท์เลทส์
swaziland,สวาซิแลนด์
varieties,แวไรตี้ส์
arbor,อาร์บอร์
mediawiki,มีเดียวิกิ
configurations,คอนฟิกกูเรชั่นส์
poison,พอยซันstrawberry,สเตรทเอดับเบิลยูบีอาร์อาร์วาย
shortcake,เอสเอชออร์ทีซีเอเคอี
spotify,สปอทอิฟวาย
laughter,ลายูจีเอชทีอีอาร์
strawberry,สเตรทเอดับเบิลยูบีอาร์อาร์วาย
Aardvark,อาร์ดวาร์ก
Aardwolf,อาร์ดวูล์ฟ
African buffalo,แอฟริกัน บัฟฟาโล่
African elephant,แอฟริกัน เอเลเฟนท์
African leopard,แอฟริกัน เลพเพิร์ด
African Tree Pangolin,แอฟริกัน ทรี แพนโกลิน
Albatross,อัลบาทรอส
Alligator,แอลลิเกเตอร์
Alpaca,อัลปาก้า
American robin,อเมริกัน โรบิน
Anaconda,อนาคอนดา
Angel Fish,แองเจิล ฟิช
Angelfish,แองเจิลฟิช
Anglerfish,แองเกลอร์ฟิช
Ant,แอนท์
Anteater,แอนท์อีทเตอร์
Antelope,แอนติโลป
Antlion,แอนท์ไลออน
Ape,เอป
Aphid,เอฟิด
Arab horse,อาหรับ ฮอร์ส
Arabian leopard,อาราเบียน เลพเพิร์ด
Archer Fish,อาร์เชอร์ ฟิช
Arctic Fox,อาร์กติก ฟอกซ์
Arctic Wolf,อาร์กติก วูล์ฟ
Armadillo,อาร์มาดิลโล่
Arrow crab,แอร์โร่ว์ แครบ
Asian Elephant,เอเชียน เอเลเฟนท์
Asp,แอสพ์
Atlantic Puffin,แอตแลนติก พัฟฟิน
Aye-Aye,อาย-อาย
Baboon,บาบูน
Badger,แบดเจอร์
Bald eagle,บอลด์ อีเกิล
Bandicoot,แบนดิคูท
Bangle Tiger,แบงเกิล ไทเกอร์
Barnacle,บาร์นาเคิล
Barracuda,บาร์ราคูด้า
Basilisk,บาซิลิสก์
Bass,แบส
Basset Hound,บาสเซ็ต ฮาวด์
Bat,แบท
Beaked whale,บีคด์ เวล
Bear,แบร์
Bearded Dragon,เบียร์ด ดราก้อน
Beaver,บีเวอร์
Bedbug,เบดบัก
Bee,บี
Beetle,บีเทิล
Beluga Whale,เบลูก้า เวล
Big-horned sheep,บิ๊ก-ฮอร์น ชีพ
Billy goat,บิลลี่ โกท
Bird,เบิร์ด
Bird of paradise,เบิร์ด ออฟ พาราไดซ์
Bison,ไบซัน
Black Bear,แบล็ค แบร์
Black Fly,แบล็ค ฟลาย
Black Footed Rhino,แบล็ค ฟุตเต็ด ไรโน
Black panther,แบล็ค แพนเธอร์
Black Rhino,แบล็ค ไรโน
Black widow spider,แบล็ค วิโดว์ สไปเดอร์
Blackbird,แบล็คเบิร์ด
Blowfish,โบลว์ฟิช
Blue bird,บลู เบิร์ด
Blue jay,บลู เจย์
Blue whale,บลู เวล
Boa,โบอา
Boar,บอร์
Bob-Cat,บ็อบ-แคท
Bobcat,บ็อบแคท
Bobolink,โบโบลิงค์
Bonobo,โบโนโบ
Booby,บูบี้
Border Collie,บอร์เดอร์ คอลลี่
Bornean Orang-utan,บอร์เนียน โอรังอุตัง
Bottle-Nose dolphin,บอทเทิล-โนส ดอลฟิน
Bovid,โบวิด
Box jellyfish,บ็อกซ์ เจลลี่ฟิช
Boxer dog,บ็อกเซอร์ ด็อก
Brown Bear,บราวน์ แบร์
Buck,บัค
Budgie,บัดจี้
Buffalo,บัฟฟาโล่
Bug,บัก
Bull,บูล
Bull frog,บูล ฟร็อก
Bull Mastiff,บูล มาสทิฟฟ์
Butterfly,บัตเตอร์ฟลาย
Buzzard,บัซซาร์ด
Caiman lizard,ไคแมน ลิซาร์ด
Camel,คาเมล
Canary,คานารี่
Cape buffalo,เคป บัฟฟาโล่
Capybara,คาปิบาร่า
Cardinal,คาร์ดินัล
Caribou,คาริบู
Carp,คาร์ป
Cat,แคท
Caterpillar,แคทเทอร์พิลลาร์
Catfish,แคทฟิช
Catshark,แคทชาร์ค
Cattle,แคทเทิล
Centipede,เซนติพีด
Cephalopod,เซฟาโลพอด
Chameleon,คาเมเลียน
Cheetah,ชีตาห์
Chickadee,ชิคคาดี
Chicken,ชิกเก้น
Chihuahua,ชิวาวา
Chimpanzee,ชิมแปนซี
Chinchilla,ชินชิลล่า
Chipmunk,ชิพมังก์
Chupacabra,ชูปาคาบร้า
Cicada,ซิคาด้า
Clam,แคลม
Clown Fish,โคลว์น ฟิช
Clownfish,โคลว์นฟิช
Cobra,โคบร้า
Cockatiel,ค็อกคาเทียล
Cockatoo,ค็อกคาทู
Cocker Spaniel,ค็อกเกอร์ สแปเนียล
Cockroach,ค็อกโรช
Cod,ค็อด
Coho,โคโฮ
Common Dolphin,คอมมอน ดอลฟิน
Common seal,คอมมอน ซีล
Condor,คอนดอร์
Constrictor,คอนสตรัคเตอร์
Coral,คอรัล
Corn Snake,คอร์น สเนค
Cougar,คูก้า
Cow,คาว
Coyote,โคโยตี้
Crab,แครบ
Crane,เครน
Crane fly,เครน ฟลาย
Crawdad,ครอว์แดด
Crawfish,ครอว์ฟิช
Cray fish,เครย์ ฟิช
Crayfish,เครย์ฟิช
Cricket,คริกเก็ต
Crocodile,คร็อกโคไดล์
Crow,โครว์
Cuckoo,คุกคู
Cuckoo bird,คุกคู เบิร์ด
Cuttle fish,คัทเทิล ฟิช
Dacshund,แด็กซ์ฮุนด์
Dalmation,ดัลเมเชียน
Damsel fly,แดมเซล ฟลาย
Damselfly,แดมเซลฟลาย
Dart Frog,ดาร์ท ฟร็อก
Deer,เดียร์
Devi Fish (Giant Sting ray),เดวี ฟิช (ไจแอนท์ สติง เรย์)
Diamond back rattler,ไดมอนด์ แบ็ค แรทเลอร์
Dik-dik,ดิก-ดิก
Dingo,ดิงโก้
Dinosaur,ไดโนซอร์
Doberman Pinscher,โดเบอร์แมน พินเชอร์
Dodo bird,โดโด้ เบิร์ด
Dog,ด็อก
Dolly Varden,ดอลลี่ วาร์เดน
Dolphin,ดอลฟิน
Donkey,ดองกี้
Door mouse,ดอร์ เมาส์
Dormouse,ดอร์เมาส์
Dove,โดฟ
Draft horse,ดราฟท์ ฮอร์ส
Dragon,ดราก้อน
Dragonfly,ดราก้อนฟลาย
Drake,เดรค
Du-gong,ดู-กง
Duck,ดั๊ก
Duckbill Platypus,ดั๊กบิลล์ พลาทิปัส
Dung beetle,ดังก์ บีเทิล
Eagle,อีเกิล
Earthworm,เอิร์ธเวิร์ม
Earwig,เอียร์วิก
Echidna,เอคิดนา
Eclectus,เอ็คเล็คทัส
Eel,อีล
Egret,อีเกร็ต
Elephant,เอเลเฟนท์
Elephant seal,เอเลเฟนท์ ซีล
Elk,เอลค์
Emu,อีมู
English pointer,อิงลิช พอยน์เตอร์
Ermine,เออร์มีน
Erne,เอิร์น
Eurasian Lynx,ยูเรเซียน ลิงซ์
Falcon,ฟัลคอน
Ferret,เฟอร์เร็ต
Finch,ฟินช์
Firefly,ไฟร์ฟลาย
Fish,ฟิช
Flamingo,ฟลามิงโก้
Flatworm,แฟลทเวิร์ม
Flea,ฟลี
Fly,ฟลาย
Flyingfish,ฟลายอิ้งฟิช
Fowl,ฟาวล์
Fox,ฟอกซ์
Fresh Water Crocodile,เฟรช วอเตอร์ คร็อกโคไดล์
Frog,ฟร็อก
Fruit bat,ฟรุต แบท
